REF_DATE,DataNormal,GEO,DGUID,North American Product Classification System (NAPCS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1997-03-01,1997Q1,Atlantic Region,2021A00011,Light fuel oils (except kerosene and diesel) [261322],"Index, 202001=100",403,units,0,v1324952535,1.4,37.1,,,,1
1997-03-01,1997Q1,Quebec,2021A000224,"Finished motor gasoline (except for aircraft, and ethanol fuel) [261211]","Index, 202001=100",403,units,0,v1324952544,2.1,33.4,,,,1
1997-03-01,1997Q1,Quebec,2021A000224,Diesel fuel [261221],"Index, 202001=100",403,units,0,v1324952545,2.2,29.6,,,,1
1997-03-01,1997Q1,Quebec,2021A000224,Light fuel oils (except kerosene and diesel) [261322],"Index, 202001=100",403,units,0,v1324952547,2.4,32.4,,,,1
1997-03-01,1997Q1,Ontario,2021A000235,"Finished motor gasoline (except for aircraft, and ethanol fuel) [261211]","Index, 202001=100",403,units,0,v1324952540,3.1,43.5,,,,1
1997-03-01,1997Q1,Ontario,2021A000235,Diesel fuel [261221],"Index, 202001=100",403,units,0,v1324952541,3.2,36.5,,,,1
1997-03-01,1997Q1,Ontario,2021A000235,Light fuel oils (except kerosene and diesel) [261322],"Index, 202001=100",403,units,0,v1324952543,3.4,37.9,,,,1
1997-03-01,1997Q1,Prairie Region,2021A00014,"Finished motor gasoline (except for aircraft, and ethanol fuel) [261211]","Index, 202001=100",403,units,0,v1324952548,4.1,50.9,,,,1
1997-03-01,1997Q1,Prairie Region,2021A00014,Diesel fuel [261221],"Index, 202001=100",403,units,0,v1324952549,4.2,35.8,,,,1
1997-03-01,1997Q1,Prairie Region,2021A00014,Light fuel oils (except kerosene and diesel) [261322],"Index, 202001=100",403,units,0,v1324952551,4.4,31.9,,,,1
1997-03-01,1997Q1,British Columbia,2021A000259,"Finished motor gasoline (except for aircraft, and ethanol fuel) [261211]","Index, 202001=100",403,units,0,v1324952536,5.1,45.4,,,,1
1997-03-01,1997Q1,British Columbia,2021A000259,Diesel fuel [261221],"Index, 202001=100",403,units,0,v1324952537,5.2,39.2,,,,1
1997-03-01,1997Q1,British Columbia,2021A000259,Light fuel oils (except kerosene and diesel) [261322],"Index, 202001=100",403,units,0,v1324952539,5.4,35.7,,,,1
1997-04-01,1997Q2,Atlantic Region,2021A00011,"Finished motor gasoline (except for aircraft, and ethanol fuel) [261211]","Index, 202001=100",403,units,0,v1324952532,1.1,37.3,,,,1
1997-04-01,1997Q2,Atlantic Region,2021A00011,Diesel fuel [261221],"Index, 202001=100",403,units,0,v1324952533,1.2,42.8,,,,1
1997-04-01,1997Q2,Atlantic Region,2021A00011,Light fuel oils (except kerosene and diesel) [261322],"Index, 202001=100",403,units,0,v1324952535,1.4,35.9,,,,1
1997-04-01,1997Q2,Quebec,2021A000224,"Finished motor gasoline (except for aircraft, and ethanol fuel) [261211]","Index, 202001=100",403,units,0,v1324952544,2.1,32.1,,,,1
1997-04-01,1997Q2,Quebec,2021A000224,Diesel fuel [261221],"Index, 202001=100",403,units,0,v1324952545,2.2,28.6,,,,1
1997-04-01,1997Q2,Quebec,2021A000224,Light fuel oils (except kerosene and diesel) [261322],"Index, 202001=100",403,units,0,v1324952547,2.4,31.1,,,,1
1997-04-01,1997Q2,Ontario,2021A000235,"Finished motor gasoline (except for aircraft, and ethanol fuel) [261211]","Index, 202001=100",403,units,0,v1324952540,3.1,42.5,,,,1
1997-04-01,1997Q2,Ontario,2021A000235,Diesel fuel [261221],"Index, 202001=100",403,units,0,v1324952541,3.2,35,,,,1
1997-04-01,1997Q2,Ontario,2021A000235,Light fuel oils (except kerosene and diesel) [261322],"Index, 202001=100",403,units,0,v1324952543,3.4,38,,,,1
1997-04-01,1997Q2,Prairie Region,2021A00014,"Finished motor gasoline (except for aircraft, and ethanol fuel) [261211]","Index, 202001=100",403,units,0,v1324952548,4.1,49.4,,,,1
1997-04-01,1997Q2,Prairie Region,2021A00014,Diesel fuel [261221],"Index, 202001=100",403,units,0,v1324952549,4.2,33.3,,,,1
1997-04-01,1997Q2,Prairie Region,2021A00014,Light fuel oils (except kerosene and diesel) [261322],"Index, 202001=100",403,units,0,v1324952551,4.4,31.1,,,,1
1997-04-01,1997Q2,British Columbia,2021A000259,"Finished motor gasoline (except for aircraft, and ethanol fuel) [261211]","Index, 202001=100",403,units,0,v1324952536,5.1,45.4,,,,1
1997-04-01,1997Q2,British Columbia,2021A000259,Diesel fuel [261221],"Index, 202001=100",403,units,0,v1324952537,5.2,38.5,,,,1
1997-04-01,1997Q2,British Columbia,2021A000259,Light fuel oils (except kerosene and diesel) [261322],"Index, 202001=100",403,units,0,v1324952539,5.4,35.4,,,,1
1997-05-01,1997Q2,Atlantic Region,2021A00011,"Finished motor gasoline (except for aircraft, and ethanol fuel) [261211]","Index, 202001=100",403,units,0,v1324952532,1.1,37.1,,,,1
1997-05-01,1997Q2,Atlantic Region,2021A00011,Diesel fuel [261221],"Index, 202001=100",403,units,0,v1324952533,1.2,42.9,,,,1
1997-05-01,1997Q2,Atlantic Region,2021A00011,Light fuel oils (except kerosene and diesel) [261322],"Index, 202001=100",403,units,0,v1324952535,1.4,35.7,,,,1
1997-05-01,1997Q2,Quebec,2021A000224,"Finished motor gasoline (except for aircraft, and ethanol fuel) [261211]","Index, 202001=100",403,units,0,v1324952544,2.1,32.7,,,,1
1997-05-01,1997Q2,Quebec,2021A000224,Diesel fuel [261221],"Index, 202001=100",403,units,0,v1324952545,2.2,28.7,,,,1
1997-05-01,1997Q2,Quebec,2021A000224,Light fuel oils (except kerosene and diesel) [261322],"Index, 202001=100",403,units,0,v1324952547,2.4,30.1,,,,1
1997-05-01,1997Q2,Ontario,2021A000235,"Finished motor gasoline (except for aircraft, and ethanol fuel) [261211]","Index, 202001=100",403,units,0,v1324952540,3.1,43.9,,,,1
1997-05-01,1997Q2,Ontario,2021A000235,Diesel fuel [261221],"Index, 202001=100",403,units,0,v1324952541,3.2,34.9,,,,1
1997-05-01,1997Q2,Ontario,2021A000235,Light fuel oils (except kerosene and diesel) [261322],"Index, 202001=100",403,units,0,v1324952543,3.4,37.6,,,,1
1997-05-01,1997Q2,Prairie Region,2021A00014,"Finished motor gasoline (except for aircraft, and ethanol fuel) [261211]","Index, 202001=100",403,units,0,v1324952548,4.1,49.7,,,,1
1997-05-01,1997Q2,Prairie Region,2021A00014,Diesel fuel [261221],"Index, 202001=100",403,units,0,v1324952549,4.2,32.9,,,,1
